PartNumber,Description,Sellable,Length,Weight,Width,Height,productPageUrl,image1_url,image1_name,image2_url,image2_name,image3_url,image3_name,image4_url,image4_name,image5_url,image5_name,image6_url,image6_name,image7_url,image7_name,image8_url,image8_name,image9_url,image9_name
3019540,"Pump,fuel/afc Auto -n",Y,12.5 In,15.75 Lbs,"Non-Hazardous (NOI, ICE/Auto)",11.5 In,https://parts.cummins.com/esn-entry/main/part-details/3019540/parts-search,no image available,no image available,,,,,,,,,,,,,,,,
,,N,null,null,null,null,https://parts.cummins.com/gsn-entry/main/part-details/3019540/part,no image available,no image available,,,,,,,,,,,,,,,,
4063700,Fuel Pump,Y,17 In,41.3 Lbs,12.1 In,11.88 In,https://parts.cummins.com/esn-entry/main/part-details/4063700/parts-search,no image available,no image available,,,,,,,,,,,,,,,,
4063700,Fuel Pump,Y,17 In,41.3 Lbs,12.1 In,11.88 In,https://parts.cummins.com/esn-entry/main/part-details/4063700/parts-search,no image available,no image available,,,,,,,,,,,,,,,,
3957713,Fuel Injection Pump,Recon equivalent 3957713 NX,Y,14.1 In,1.65 Lbs,14 In,https://parts.cummins.com/esn-entry/main/part-details/3957713/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/395/3957713/3957713_iso.png?x-image-size=medium,3957713_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/395/3957713/3957713_iso2.png?x-image-size=medium,3957713_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/395/3957713/3957713_front.png?x-image-size=medium,3957713_image3.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/395/3957713/3957713_top.png?x-image-size=medium,3957713_image4.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/395/3957713/3957713_right.png?x-image-size=medium,3957713_image5.jpg,,,,,,,,
3957713NX,"Pump,fuel Injection Delph",N,13.5 In,18.22 Lbs,11.5 In,6.5 In,https://parts.cummins.com/esn-entry/main/part-details/3957713nx/parts-search,no image available,no image available,,,,,,,,,,,,,,,,
3957713,Fuel Injection Pump,Recon equivalent 3957713 NX,Y,14.1 In,1.65 Lbs,14 In,https://parts.cummins.com/esn-entry/main/part-details/3957713/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/395/3957713/3957713_iso.png?x-image-size=medium,3957713_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/395/3957713/3957713_iso2.png?x-image-size=medium,3957713_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/395/3957713/3957713_front.png?x-image-size=medium,3957713_image3.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/395/3957713/3957713_top.png?x-image-size=medium,3957713_image4.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/395/3957713/3957713_right.png?x-image-size=medium,3957713_image5.jpg,,,,,,,,
,,N,null,null,null,null,https://parts.cummins.com/gsn-entry/main/part-details/3957713nx/part,no image available,no image available,,,,,,,,,,,,,,,,
208415,Crankshaft Pulley,N,9 In,18.25 Lbs,"Non-Hazardous (NOI, ICE/Auto)",2 In,https://parts.cummins.com/esn-entry/main/part-details/208415/parts-search,no image available,no image available,,,,,,,,,,,,,,,,
3975927,Fuel Injection Pump,N,21.6 In,50.51 Lbs,17 In,12.75 In,https://parts.cummins.com/esn-entry/main/part-details/3975927/parts-search,no image available,no image available,,,,,,,,,,,,,,,,
3975927,Fuel Injection Pump,N,21.6 In,50.51 Lbs,17 In,12.75 In,https://parts.cummins.com/esn-entry/main/part-details/3975927/parts-search,no image available,no image available,,,,,,,,,,,,,,,,
3960899,Fuel Injection Pump,N,0 In,.1 Lbs,0 In,0 In,https://parts.cummins.com/esn-entry/main/part-details/3960899/parts-search,no image available,no image available,,,,,,,,,,,,,,,,
3960899,Fuel Injection Pump,N,0 In,.1 Lbs,0 In,0 In,https://parts.cummins.com/esn-entry/main/part-details/3960899/parts-search,no image available,no image available,,,,,,,,,,,,,,,,
3969547,Fuel Injection Pump,N,25.8 In,50 Lbs,16.8 In,12.75 In,https://parts.cummins.com/esn-entry/main/part-details/3969547/parts-search,no image available,no image available,,,,,,,,,,,,,,,,
3969547,Fuel Injection Pump,N,25.8 In,50 Lbs,16.8 In,12.75 In,https://parts.cummins.com/esn-entry/main/part-details/3969547/parts-search,no image available,no image available,,,,,,,,,,,,,,,,
3429351,Fuel Flow Valve,Y,25.7 In,7.77 Lbs,16.9 In,17.6 In,https://parts.cummins.com/esn-entry/main/part-details/3429351/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/342/3429351/3429351_iso2.png?x-image-size=medium,3429351_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/342/3429351/3429351_iso.png?x-image-size=medium,3429351_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/342/3429351/3429351_front.png?x-image-size=medium,3429351_image3.jpg,,,,,,,,,,,,
3429351,Fuel Flow Valve,Y,25.7 In,7.77 Lbs,16.9 In,17.6 In,https://parts.cummins.com/esn-entry/main/part-details/3429351/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/342/3429351/3429351_iso2.png?x-image-size=medium,3429351_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/342/3429351/3429351_iso.png?x-image-size=medium,3429351_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/342/3429351/3429351_front.png?x-image-size=medium,3429351_image3.jpg,,,,,,,,,,,,
4066511,Fuel Flow Valve,Y,13 In,17 Lbs,9 In,8.3 In,https://parts.cummins.com/esn-entry/main/part-details/4066511/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/406/4066511/4066511_iso.png?x-image-size=medium,4066511_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/406/4066511/4066511_iso2.png?x-image-size=medium,4066511_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/406/4066511/4066511_top.png?x-image-size=medium,4066511_image3.jpg,,,,,,,,,,,,
,,N,null,null,null,null,https://parts.cummins.com/gsn-entry/main/part-details/4066511/part,no image available,no image available,,,,,,,,,,,,,,,,
3607803,Fuel Flow Valve,Y,13 In,18.55 Lbs,"Non-Hazardous (NOI, ICE/Auto)",9 In,https://parts.cummins.com/esn-entry/main/part-details/3607803/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/360/3607803/3607803_iso_mkt.png?x-image-size=medium,3607803_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/360/3607803/3607803_iso.png?x-image-size=medium,3607803_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/360/3607803/3607803_iso2.png?x-image-size=medium,3607803_image3.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/360/3607803/3607803_front.png?x-image-size=medium,3607803_image4.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/360/3607803/3607803_right.png?x-image-size=medium,3607803_image5.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/360/3607803/3607803_top.png?x-image-size=medium,3607803_image6.jpg,,,,,,
,,N,null,null,null,null,https://parts.cummins.com/gsn-entry/main/part-details/3607803/part,no image available,no image available,,,,,,,,,,,,,,,,
